Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_Disc_D7.5mm_W2.5mm_P5.00mm,2,100n,
C3,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,3p9,
C4,C_Disc_D7.5mm_W2.5mm_P5.00mm,1,4n7,
C5,CP_Radial_D6.3mm_P2.50mm,1,C_Polarized,
"D1, D3, D4, D5, D6",D_DO-35_SOD27_P7.62mm_Horizontal,5,1N4148,
D2,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N4007,
D7,LED_D3.0mm_Clear,1,LED,
F1,Fuseholder_Littelfuse_100_series_5x20mm,1,1A,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Input Voltage,
J2,PinHeader_1x10_P2.54mm_Vertical,1,RX Voltage,
J3,PinHeader_1x10_P2.54mm_Vertical,1,TX Voltage,
J4,SMA_Amphenol_132289_EdgeMount,1,IF,
J5,SMA_Amphenol_132289_EdgeMount,1,RX,
J6,SMA_Amphenol_132289_EdgeMount,1,TX,
J7,PinHeader_1x03_P2.54mm_Vertical,1,VOX or Vin,
"K1, K2",Relay_SPDT_Omron-G5LE-1,2,G5LE-1,
L1,L_Axial_L20.0mm_D8.0mm_P5.08mm_Vertical,1,VK200,
Q1,TO-220-3_Horizontal_TabDown,1,TIP121,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10k,
R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,2k2,
R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1k,
